track_ID,title,duration_ms,key,mode,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,time_signature
6Rtug7pmJtXarD0fTtRlt0,1:00 am,163955,2,1,200.596,0.901,0.65,-4.137,0.0981,0.0038,0,0.111,0.295,4
2dOah7YpxtEyjQRgwhRvqf,1:01,196364,8,1,153.995,0.682,0.375,-10.412,0.0628,0.661,0.0136,0.106,0.391,4
6y1sU81WPiVupAUxaKglEq,1:11,211892,0,0,111.004,0.632,0.904,-6.879,0.029,0.246,0.688,0.196,0.122,4
15n94hYsikOygNqeOGxjKM,1:13,132598,8,1,160.014,0.516,0.457,-7.863,0.0385,0.101,0.953,0.111,0.0847,4
0eOgFZjKEMGcegNicaTECB,2:00 am,196023,6,0,129.933,0.812,0.411,-8.996,0.0654,0.131,0.079,0.0842,0.354,4
3uvKXKQxcmjPT7letWh3Pf,2:45,125048,8,1,217.888,0.644,0.64,-7.877,0.0688,0.00329,0,0.146,0.175,3
1nX9KhK3Fff27SnrIor2Yb,4:00 am,255560,1,1,150.024,0.796,0.5,-7.21,0.425,0.118,0,0.155,0.227,4
4e7Hrq7DCPoxIDk1hggehd,4:00 am,154000,0,0,200.064,0.819,0.773,-5.232,0.0564,0.0151,1.40E-06,0.449,0.564,4
1S07DKWSYcLY6cMVYhwVI8,4:29,233514,3,0,148.004,0.532,0.506,-11.047,0.0286,0.136,0.897,0.1,0.197,1
1gT5TGwbkkkUliNzHRIGi1,4:44,284493,9,1,177.997,0.261,0.852,-4.965,0.158,0.139,4.26E-05,0.477,0.431,4
4maAjoNzM6nXiT40xCFfYS,5:00 am,170912,8,1,125.034,0.68,0.391,-9.55,0.0779,0.475,0.000569,0.162,0.04,4
7MizVtfke0l4Ie9DkBEDRs,5:00 am,170933,8,1,125.045,0.68,0.382,-10.054,0.0792,0.455,0.000465,0.16,0.0411,4
21YEPA3Vs1rxgxwPkF3B8M,0.223,129776,9,0,148.046,0.82,0.654,-9.406,0.0892,0.00959,0.511,0.096,0.366,4
7le1UOidbpfS03K4OKyRZC,8:45,182909,8,1,168.08,0.424,0.581,-8.876,0.247,0.736,9.75E-06,0.12,0.299,4
2WVC0TgVt7zxwQRfQiXwqX,11:11,395652,7,1,139.02,0.719,0.882,-6.621,0.0529,0.000324,0.846,0.115,0.283,4
5iEotd8yFucfmE24yBrhoQ,0.556,170918,0,1,119.948,0.773,0.346,-10.398,0.0638,0.0272,0.000483,0.106,0.106,5
4zwvQLbXBdaDicbbU9xLpi,1,92160,7,1,199.236,0.451,0.832,-2.909,0.593,0.00273,0,0.232,0.212,5
75KG0cyaHdizV6avmsqT0l,1,185047,2,1,111.941,0.809,0.533,-8.161,0.0678,0.0289,0,0.0916,0.167,4
2rjbWlEDTx4tfajRaMs8Fw,1.5,148656,1,1,168.044,0.885,0.52,-8.353,0.359,0.000244,1.16E-06,0.454,0.306,4
2wOXxtHZgRkkrkEbKLzzqs,1.5,148656,1,1,168.044,0.885,0.52,-8.353,0.359,0.000244,1.16E-06,0.454,0.306,4
2zHCXiuJW838h3gSJqS08a,2,421442,10,0,128.998,0.796,0.882,-10.212,0.0413,0.387,0.925,0.109,0.0356,4
1kot2lDXaF496sebPI8Bz9,2,188985,6,0,149.998,0.796,0.438,-7.374,0.157,0.298,0.0135,0.146,0.442,4
2YyNFk4HBKXrqgsvPDNJtO,2,188987,6,0,149.975,0.794,0.448,-7.401,0.148,0.313,0.0184,0.128,0.429,4
79nmz3sTog69GJWtBQUzWH,2,236757,7,0,148.09,0.538,0.446,-10.241,0.109,0.292,2.58E-06,0.132,0.216,4
20xnRRu67n246s5JX9cTtS,3,325469,0,1,132.981,0.685,0.877,-14.962,0.0419,0.00181,0.943,0.111,0.0912,4
0znCBTzhBau3USgKevI0aK,3.5,158919,4,1,148.033,0.906,0.694,-8.694,0.274,0.281,0.000362,0.0593,0.813,4
6MLptqfOLeV8uwAqwXaZ1v,6.24,261818,7,1,132.062,0.66,0.984,-3.282,0.143,0.0118,0.696,0.078,0.35,4
37LJdAh8271sSRFkGm7QVK,7,135227,8,1,174.535,0.823,0.737,-8.548,0.289,0.0206,0,0.0787,0.449,4
0Nq6s4g3DFcTAOBwWPYOHI,9,359091,11,0,130.003,0.799,0.664,-12.207,0.044,0.127,0.875,0.108,0.0325,4
0Xmk2yzwMIPBcnbzeeyQE5,10.26,309333,10,0,134.998,0.59,0.903,-9.413,0.0566,0.227,0.915,0.113,0.418,3
4JRe23RYB0fN3rkYj1Uqm2,12,195200,1,0,149.965,0.747,0.557,-8.971,0.069,0.369,3.53E-05,0.103,0.552,4
757e4DEhN7NQkjedHIn3Ot,15.02,208500,9,0,119.953,0.747,0.668,-11.94,0.0455,0.122,0.942,0.0989,0.0326,4
15DwFznkBJir7AK9PyMyRR,17,196489,0,0,122.029,0.703,0.832,-7.202,0.0689,0.00149,0.127,0.0696,0.667,4
